Column,Tape #,Format of original,Episode Recording Date,Episode Date,Episode Play Date,Episode title,Program Director,Program Producer,Keywords,Program Summary
46,20,U-Matic,1991-10-20,1991,1991-10-20; 1991-10-27,Programa Nosotros (1991-10-20). Bafochi,Sergio Contreras,Lito Azocar,relief telethon; Peru cholera epidemic; Paraguay; BAFOCHI; chilean folk ballet                                    teletón de alivio; epidemia de cólera Peru; Paraguay; BAFOCHI; ballet folklórico chileno,This program presents a report on the relief telethon for the cholera epidemic in Peru. The report discussed the donations gathered and the various people and groups involved in making the telethon possible and successful. The first part of a documentary about the recent history of Paraguay is also shown. The documentary is about the Stroessner regime and its effect on Paraguay and its people. The program ends with a recording of dances performed by BAFOCHI; which is a Chilean folk ballet group. 
47,33,U-Matic,1991-11-03,1991,1991-11-03,Programa Nosotros (1991-11-03). Message of Hope (Ba Fochi part 2),Sergio Contreras,Lito Azocar,Chilean national folk ballet; ballet folkorico de chile; first democratic vote in paraguay; primero voto democratico en paraguay; political prisoners of chile; presos politicos de chile ,"The newscasters begin talking about Paraguay, talking about the population and then giving a summary of its political history. The country was under military government for many years and by the end of the 1980’s they expelled a general and began having real elections with alternative choices (other parties). There were some interviews with the public about how they felt about the elections and interviewed different people on their opinion of new government. Interviewed a women’s group and they want the discrimination of working women to stop. Police want respect and a dignified pay. Indigenous people want the government to pay more attention to them & give them proper education. Second part they are interviewing two people in the station: Mario Acuna and Patricia del Rossi. They are representing the missing and the political prisoners from the pinochet regime who are still in prison. Patricia says that the situation for the political prisoners hasn’t changed since the regime even though they were given promises, but there sentences haven’t been reduced. Mario has visited the jails the political prisoners are in and says that it reminds him of the past and that the conditions in there is like going back into the regime. He goes on to express that he doesn’t know why they are still in jail when they had done nothing wrong and that the torturers and other people from the regime that had done crimes against humanity are still free.Says that the political prisoners held there own protests by refusing to eat. They want people to write letters and send them in to plead for the freedom of these political prisoners. Their committee is devoted to the compassion of the political prisoners and wants the latin community to join forces. Then they just show the Chilean traditional ballet folk dance."
48,19,U-Matic,1991-12-22,1991,1991-12-22,Programa Nosotros (1991-12-22). Xmas special 91 #5,Sergio Contreras,Lito Azocar,"Chile mi pais; un jueguete para chile; chilean christmas campaign ""one toy for chile""; El salvador civil war; Guerra civil en el salvador; interview with a salvadorean family in edmonton; entrevista con una familia salvadoreño en edmonton; communidad salvadoreño; salvadorean community","Mario Allende (newscaster) first introduces the christmas episode and talks about the nativity story and what its significance. Antonio Guzman (another newscaster) talks about how latin america doesn’t have a political system like Europe or the Soviet union. (*not sure what that has to do with this episode)    Then they go on talking about a christmas campaign that was organized in the latin community to give toys to children in Chile. The name of the group that organized is called ‘Chile mi pais’ and here in Edmonton they organized a christmas event with children performances to help support this campaign and there were some interviews. Interview with Domingo Chavez, says the party was a success, everyone supported the campaign and they raised around $500 and had 800 toys to send and they wanted to reach 1000 toys in the next two days before they sent it off. He said that the Republic of Chile would be in charge of the transportation.Interview with Juan Caroca, says the campaign ‘un juguete para chile’ (one toy for Chile) will make the children happy and give them happy memories in these difficult times. Quotes a poet, Gabriela Apostrol “no puedan esperar” which means that they can’t wait which is referencing the children. Also says if they come together they can do many good things.Interview with Hugo Delgado, says the democracy in Chile is changing and starting to unite and people are participating in democracy, but there are still political problems. This year there helping Chile during christmas, but he says they want to help a different latin/south american country every year. Interview with Mirna Silva, says she’s happy to make the children happy. She hopes next christmas they will be able to help another country. She says that many different companies have participated to make this campaign a success. Phone Interview with Patricia del Rossi, says the toys are going to the children of the political prisoners. The names of the helping companies: casa de Chile, agricultura, and mundo migrante. Sent $2000 to a lady names Señora Cristina on dec. 13 and that they sent $500 back.     For the next 10 - 15 minutes a pastor/priest gives a speech about christmas and the nativity story and its importance. A sermon.    Mario Allende then introduces the next topic saying even though we live far from our country we still have to know what’s going on and that they as the tv show do there best to inform their viewers. Next segment begins with a video of war, children and people suffering. El Salvador has been in a civil war for over 10 years, 80 million are dead or missing, people have to go from town to town to find protection. Interview with Elias Moreno who has moved to Edmonton from El Salvador during this time. His wife and brothers were assassinated and then he moved to Honduras for 3 years and through the church he was able to come to Canada in 1991. Tells what happened: His brother was in a community and 5 of them came out from an activity and soldiers killed him. In another community soldiers went and killed women, children and two more of his brothers. His sister was pregnant and she was found dead on the highway. He met his wife in the workplace & told about the beginning of their life & that it was difficult because of war and the soldiers burned down their house 4 times. Interview with Ernesto Moreno (Elias’s son), telling a story of when soldiers came and had to move women to mountains and one resisted so they took her by force and then she was found dead the next day.(Back to Elias) He says that the soldiers were taking women to use them for their own satisfaction and his wife resisted and they killed her, which is what the other women told him. He couldn’t get his dead wife’s body right away or else the soldiers would kill him. He got together with some other men and they went and found her on the highway and they had to bury her right there on the spot quickly before soldiers found them. He found it very difficult losing his wife and brothers and found a way to get to Honduras. First he left there and later brought his children over. He says here in Canada his children have a better, peaceful life. They didn’t have good food back home and or schooling because soldiers would burn down the schools. Life here in general is better. They are in the first stage of learning English and children are still learning Spanish as well. The boys each have their responsibility at home for the household chores. Here every child is fortunate enough while in some latin american countries they live in war and poverty during christmas time. Elias says that here he wants to make sure his kids see what’s going on back home and not to lose sight of that. Ernesto says that he is happy to be in Canada with toys, bread, food, but feels bad for children in El Salvador who have nothing.     Last little bit shows a christmas concert. 
"
49,3,U-Matic,1992-01,1992,1992-01-19,Programa Nosotros (1992-01). Apurimac,Sergio Contreras,Lito Azocar,Chapultepec Peace Accords; Acuerdo de Paz de Chapultepec; Palacio Nacional de Mexico; Mexico National Palace; Alfredo Cristiani; Schafik Jorge Handel; ,"Mario Allende begins the show saying it is a night of celebration because finally El Salvador has signed the Treaty of Peace and now the Salvadoran community can look forward to the future and build a new community in peace. Thursday January 16, 1992 Mexico signed the treaty as well which help put an end to the civil war in El Salvador which has been going on for 12 years. This episode is dedicated to El Salvador and he apologizes for not updating on Chile’s situation. For the military the Treaty of Peace will reduce them from 63,165 to 31,000 in the next two years. Mario says that the “cese de fuego” which is a cease fire command will begin in the first week of February. Then they go and show live footage from Mexico in the Palacio Nacional of the a Salvadoran Politician, Schafik Jorge Handal, gives his speech. He begins it by talking about the past and that now the treaty marks the freedom of El Salvador. He says that El Salvador tried to get help from other countries but they all closed their doors to them. He also names people that have died for the cause of bringing peace and they are considered heroes. He gives thanks to the churches that helped the Salvadoran people and as well there were women from Europe who helped the country. Goes back to Mario and he says that the country is going to legalize the rebels as a political party. Then they showed live footage of the president of El Salvador, Alfredo Cristiani, giving his speech in the Palacio Nacional. Mario says that the general secretary of the United Nations said that El Salvador’s Noche Largo (Long Night) is coming to a close. In Latin America they are celebrating and in Edmonton they joined in St. Francis church to celebrate the new found peace. Interviewed people on their reaction, how they felt, and if they would want to return back to El Salvador. Interview with Ronni Tejada says that everyone in the Salvadoran community is happy with this treaty because it will hopefully guarantee the militarization of the country, guarantee the popular vote & wants of the people, and guarantee the only one national civil police. He wants the government to listen to the people basically. Interview with Laura Rodas says she would return back home and would like to get to know her country and the family she has there because she has all these memories from when she was little. Interview with Veronica Ochoa says she is happy with the treaty. She only left because of the war but her parents would like to return and start a new life back home. She hopes that everyone lives in peace now and that they have their human rights.  Interview with Joanne Miazga says she thinks its excellent that the government and the various factions that have been fighting to achieve some independence & control over the Salvadoran economy have reached a settlement that will help the country to progress and give people the opportunity to take control of what is going on in El Salvador and have the opportunity to build a new country that has a vision and maybe be a model for other latin american countries. Back to Mario Allende it shows him back at the station and he has three guests from the Salvadoran community to share their thoughts. Ana Alfaro (part of Servicios Sociales Salvadoreños) says she’s glad they signed the treaty because finally there will be peace. I believe she says it all started when more than 30,000 farmers were massacred. The country has been in 40 years of trying to establish peace. Because of popular sectors and the FLN (policy group) they helped to establish the Peace Treaty. France and Mexico recognized FLN as a bandguardia? (word that I heard , but unsure of). She hopes now that these doors of peace are open that there will be no more fighting. Gladys Moreno (part of the Communidad Salavoreño) it was surprising for her to hear that speech from the president because in december it was said that there was no chance to negotiate with the guerillas, but its good this is happening because they have just been in armed war. They tried hiding the war at first from the world. She quotes the president “not to look back, but to the future” and she is thinks that what they’re doing now will happen & move forward towards peace. The UN and Mexico were a big help making the treaty happen. Leonel Vizcarra (part of Oficina de Informacion El Salvador) says that before another group tried to bring peace to the country, but couldn’t. Now with the help from the UN they could and he’s happy because he can go back to his homeland. Says there are different sectors helping the country now. Appreciates the Canadian government for helping and accepting the Salvadoran people in Canada during these hard times. Mario Allende informs that 35 groups held a candlelight march as a religious prayer to pray for the end of war. Says that everyone in Canadian, Chilean & Salvadoran community are celebrating. Ana Alfaro says the UN tried to get the country a police force, but she is glad that the country did it themselves.Gladys Moreno says that the country has just gone through one stage and now its moving onto another stage, a stage of reconstruction and that people in the community should not abandon them now because they will still need more help. "
50,58,U-Matic,1992-02-09,1992,1992-03-01,Programa Nosotros (1992-02-09). Nosotros #10. Duo Colosal,Sergio Contreras,,Paseo Ahumada; Duo Colosal; Arnold Bolanos; Carlos Angulo; ,"They show a report in Chile's downtown Santiago of Paseo Ahumada. It is a very long pedestrian street where millions of people walk through each day. There are people begging, there is a man who cleans phone booths, merchants trying to sell their goods yet it is illegal and they have to pack up quickly if they see an officer come. There are people who perform, either singing or dancing. There are people who play games and gambling and can even be a good place to nap. There are people who give out pamphlets or flyers as a way of protest I think. The next segment they have the Duo Colosal on the set playing guitar and singing some classic songs. "
51,41,U-Matic,1992-02-16,1992,1992-02-16,Programa Nosotros (1992-02-16). Nosotros #9. 6th Annual Latin America Festival,Sergio Contreras,Lito Azocar,Sixth Laser Festival; Colombia dance; Ecuador dance; Aquí magazine; Mensajero magazine; Elisa Avendaño; ADMAPU;Gabriela Mistral Valntines dance; Mapuche; Chile natives. Sexto festival Laser; baile de Colombia; baile de Ecuador; Revista Aquí; Revista Mensajero; Elisa Avendaño; ADMAPU; Gabriela Mistral; baile del día de San Valentin; Mapuche; Indígenas de Chile. ,
52,11,U-Matic,1992-03-15,1992,1992-03-15,Programa Nosotros (1992-03-15). Nosotros #11.  Songs from Uruguay. Singer Ernesto Yavez & Carlos Tecaera,Sergio Contreras,Lito Azocar,Osvaldo Morales; Paseo ahumada; Santiago; Chile; Carlos Tecaera; Ernesto Yavez; Carlos y Ernesto; Carito; Por cifra y milonga; Pastor de nuez; Canción de verano y remo; Padre de carnaval; El Orejano.   ,"Obituary and mention of funeral date for Osvaldo Morales. Part II of ""Paseo Ahumada'' doumentary.  Raffle for a colour television and a blender. Folk duo ""Carlos y Ernesto"" sing; ""Carito"", ""Por cifra y milonga"", ""Pastor de nuez"", ""Canción de verano y remo"", Padre de carnaval"",  ""El Orejano"".  Hosts: Jorge Rogriguez, Claire Hurtubise, Mario Allende."
53,15,U-Matic,1992-03-28,1992,1992-05-10,Programa Nosotros (1992-03-28). Nosotros 1992. Hertiage Festival Princess,Sergio Contreras,Lito Azocar,Heritage festival; heritage festival princess; Chile pavillion; Pabellón chileno; Nadia Encina; Victor Jara; Joceline Martel; Isabel Astorga; Patricia Fruhbrodt; Nadia Contreras; Gabriela Mistral; Todas vamos a ser reinas; En tus brazos; Germá Berdiales,"The heritage days princess, Nadia Encina, is chosen by the chilean heritage festival association. During the selection ""Nosotros"" takes breaks where the Victor Jara dance group presents various traditional chilean dances. Poems by Grabriela Mistral and Germán Berdiales are recited after the selection. Program ends with the Victor Jara dance group presenting dances from Easter Island (Rapa Nui) and Chile. Judges: Maria Contreras, Juan Caroca, Norma Vidal. Hosts: Claire Hurtubise, Mario Allende, Antonio Guzman."
54,16,U-Matic,1992-05-24,1992,1992-05-24,"Programa Nosotros (1992-05-24). Nosotros #16. Portuguese Canadian Folk Club; ""Caravela Portugesa. Victor Sara. Festival 92""",Sergio Contreras,Lito Azocar,La tercera edad; senior citizens; Primavera;  LASCA (Latin American Senior Citizens Association); La copa europa; Euro Cup; Maradona; litigio de paternidad; paternity suit; La Caravela portugesa; bailadores; dancers,"Primavera organization for senior citizens, LASCA (Latin American Senior Citizens Association), interviews with members. Sporting news , updates on Euro Cup and Maradona paternity suit. Footage of Caravela portugesa, a traditional Portugese dance troop. "
55,3,U-Matic,1992-09-01,1992,,Programa Nosotros (1992-09-01). Festival Latino Americano,,,Leo Campos; poetry; native issues; poema; aborigenes;Tupac dance group; grupo tupac; Duendes; Pequeña Serenata diurna; Patricio Manns; Llegó volando; Silvio Rodriguez,"An un-named musical quartet plays songs in english and spanish. ""Aborigen"" poem recited. ""Proyecto"" musical quartet plays various songs in Spanish. Tupac dance group presents various latin dances. Program ends with the end of the ""heritage day salute""."
56,16,U-Matic,1992-10-01,1992,,Programa Nosotros (1992-10-01). Festival Latino Americano,,,Traditional; folk music; dance; Chile; España; Spain; Los Cuatro Huasos; Cueca dance; handkerchief; band; libertad; conquista; Che Guevara,Viewers are able to experience four diverse performances while listening to the musical history of the exploitations and suffering endured by Latin Americans. Each performance expresses a sense of tradition through the music and dances explored. There is a reoccurring theme of Spanish conquest and suffering throughout the four performances as well as an emphasis on Chilean culture. We are also able to witness one of the traditional dances of Chile; the Cueca. 
57,16/30,U-Matic,1992-10-25,1992,1992-10-25,Programa Nosotros (1992-10-25). Nosotros #1,Sergio Contreras,Lito Azocar,Cristobal Colon; Christopher Columbus; Rigoberta Menchu; Quinto centenario; 500th anniversary; luchas de los indigenas; indigenous struggles; premio Nobel de la paz; Nobel Peace Prize; Primer Encuentro Continental de los Pueblos Indios; First Continental Meeting of Indigenous Populations,"The show begins by talking about the 500th anniversary of Columbus discovering the New World and the reactions of the indigenous populations to this anniversary. This is done in a documentary called ""500 anos despues."" In July of 1990, more than 300 representatives from indigenous populations from all across the americas gathered in Quito, Peru for the Primer Encuentro Continental to protest the oppression that the indigenous populations face. The documentary features interviews with many different indigenous representatives which helps to paint a picture of the horrors that these populations have faced since the arrival of europeans. The program also features an interview with Dionicio Barrales and Carlos Pilquil of the Taller Indoamerica at Gabriela Mistral School - they talk about their programs aims to educate youth about the indigenous populations of latinamerica. As well, this episode lightly discusses the significance of and the circumstances surrounding Rigoberta Menchu's 1992 win of the Nobel Peace Prize. The episode ends with a sports segment with Jorge Rodriguez.
"
58,4,U-Matic,1992-11-29,1992,1993-12-13,Programa Nosotros (1992-11-29). ,Lisa Andrew; Mario Allende,,Sexuality; la Sexualidad; Prevention of HIV; la Prevencion del Sida; AIDS; Magaly Inostroza; Jose Aldunate; Alfonso Luca; Daniel Godoy; Planned Parenthood; Patricia Morales; Edmonton Schools; Edmonton Young Offender's Centre; Sexual Assault Centres,"The show begins with a Chilean Documentary Y tu que prefieres?  to discuss the nature of sexuality; and the prevention of AIDS. In the documentary, Magaly Inostroza, Jose Aldunate, Alfonso Luca, Daniel Godoy, and teenagers analyzed this issue. The other half of the program is about Patricia Morales. She works for the Canadian Organization ""Planet Parenthood"" to raise HIV awarness to Secondary High schools, Edmonton Young Offender's Centre, and Sexual Assault Centres.  

"
59,50,U-Matic,1992-11-22,1992,1992-11-22,Programa Nosotros (1992-11-22). Nosotros #3. Nosotros appreciation,Mario Allende,Lito Azocar,musica; music; Ojos de America; Eyes of America; contaminacion ambiental; environmental pollution; metodos de transportacion; transportation methods,"This episode starts out with a segment of ""Entre Amigos,"" which is a musical performance by Ernesto Yanez and Pepe Farina. Ernesto performs Como La Cigarra by Mercedes Sosa, then Pepe plays his rendition of Esta Cancion by Silvio Rodriguez, and then the two of them finish with a performance of Alfredo Zitarrosa's Zamba por Vos. The second half of the episode is a documentary by Ojos de America, this one focussing on the amount of pollution in Santiago, Chile. The host interviews different people utilizing different methods of transportation (bus, train or bike) about the environmental pollution and the state of the roadways in their city. It's interesting to see that, while the pollution levels are relatively high, the citizens tend to downplay the problem a lot. The episode ends with a sports segment by Jorge Rodriguez."
60,47,U-Matic,1992-11-15,1992,1992-11-15,Programa Nosotros (1992-11-15). ,Mario Allende,Lito Azocar,Ojos de America; Eyes of America; Musica en vivo; Live Music; Transportacion; Transportation; Autobus; Bus,"This episode begins with the hosts talking about the importance of Nosotros in their lives. Then, they have a documentary by Ojos de America called Carros y Carretas. This documentary focuses on the experience of taking public transit in Ecuador and it achieves this by displaying Ecuador through the eyes of its bus drivers. After the documentary, there is a brief explanation of how it is interesting to see this everyday action through the eyes of someone who generally isn't treated very cordially by other members of society. To finish the show, there is a segment of ""Entre Amigos,"" which is a musical performance by Ernesto Yanez and Pepe Farina. Pepe starts out with ""Ya no canto tu nombre"" by Patricio Manns and then they play their version of ""La Muralla."" Next, we have Pepe's rendition of ""El breve espacio en que no estas"" by Pablo Milanes. This is followed by Ernesto's performance of ""Como la cigarra"" by Mercedes Sosa. Pepe finishes the episode by playing ""Esta cancion"" by Silvio Rodriguez."
61,6,U-Matic,1993-01-10,1993,1993-01-10,Programa Nosotros (1993-01-10). Nosotros #6,Mario Allende,Lito Azocar,Violencia; Violence; Ojos de America; Eyes of America; desigualdad de genero; gender inequality; zampona; panpipe,"This episode starts out with a show by Ojos de America called Hilacha that is about the amount of violence that exists in Peru. Hilacha follows the story of a young girl, Hilacha, and her younger brother as they encounter varying levels of violence within their lives - things like stabbings, children commiting robberies, child exploitation, and murder.This segment ends with an explanation by the creator of Hilacha. He discusses his inspirations behind HIlacha and the gender inequality that exists within Peru's society. After this, there is a tutorial about the panpipe which is lead by members of the musical group Sukay. The tutorial shows how to play the instrument and also includes some information about the history of the panpipe. The program ends with the sports segment with Jorge Rodriguez."
62,7,U-Matic,1993-01-17,1993,1993-24-93,Programa Nosotros (1993-01-17). ,Mario Allende,?,domestic violence; violencia doméstica; Chile; Crime Stoppers; crime prevention; preveción de crimen; Edmonton; zampoña; traditional musican instrument; instrumento de música tradicional,"The program starts with an Ojos de América documentary about domestic violence in Chile, with interviews with children who have been victimized. Next, the program focuses on crime prevention in Edmonton with a segment on Edmonton's Crime Stoppers organization and an interview with a sargeant from Edmonton's police force. Then, there is a lesson on how to play the zampoña, traditional musical instrument from the Andes region of South America. Finally, there is a brief sports segment. "
63,8,U-Matic,1993-02-07,1993,1993-02-14,Programa Nosotros (1993-02-07). Nosotros #8,Mario Allende,Soc. Latinoamericana de difusión,SIDA; AIDS; HIV grupo Proceso; Hotline; Planned Parenthood; Birth Control; Contracepción; día de San Valentin; Valentine's day; Dr. Juan Bernal; FUNACS; Fernando Otaiza; Salud en Chile; healthcare in Chile; CONASIDA; Marco A. Jimenez; Dr. Abraham Pelioswki; virus; PRIMAVERA; Patricia Morales,"A presentation of  ""Hotline"", a documentary about the impact and spread of HIV-AIDS in Chile, including interviews with doctors, public health experts and sufferers of the disease. Followed by a panel with Dr. Abraham Pelioswki, Pediatrician at the Children's Intensive Care Hospital, and Silvia Yeoman of PRIMAVERA and Patricia Morales of Planned Parenthood, discussing HIV-AIDS in the video, in Canada and in Chile."
64,9,U-Matic,1993-02-24,1993,"February 21 - February 28, 1993",Programa Nosotros (1993-02-24). ,Mario Allende,Lito Azocar,Consul General de Peru; Consulate General of Peru; Vancouver; Jaime Pomerada; SISA; AIDS; Planned Parenthood; Abraham Peliowski; deportes; sports; fútbol; soccer; Apache,"Continuation of a series. A conference in Vancouver with the consulate General of Peru Jaime Pomerada on promoting Latin-American culture, and the difficulties of living far from one’s home and culture. A feature on AIDS and its prevention with Dr. Abraham Peliowski, including an small movie in English dealing with AIDS stereotypes and protection. Sports news. Apache music. "
65,10,U-Matic,1993-03-07,1993,1993-03-07,Programa Nosotros (1993-03-07). Nosotros #10,Mario Allende,Lito Azocar,Isabel Aldunate; Chilean singer; cantante chilena; día de la mujer; International Women's Day; women in Chile; las mujeres en Chile; women and politics; las mujeres y la política; tae kwon do,"A special program for International Women's day. First, there is a recording by Nosotros of a concert of chilean singer Isabel Aldunate. The recording is from seven years ago when Aldunate visited Edmonton. Then, the program shows a chilean documentary called ""La historia tiene nombre de mujer"", directed by Jimena Arrieta. This documentary focuses on the role women have played in the fight for democracy in Chile. Finally, there is a sports segment focusing on the martial art of Tae Kwon Do, with an interview and demonstration from Edmonton Tae Kwon Do expert and teacher Nelson Silva.  "
66,11 or 45,U-Matic,1993-03-21,1993,1993-03-21,Programa Nosotros (1993-03-21). Nosotros #11.,Lisa Andrew; Mario Allende,Lito Azocar,,
67,12,U-Matic,1993-04-04,1993,1993-04-04,Programa Nosotros (1993-04-04). Nosotros #11; Summer #3,Lisa Andrew; Mario Allende,Lito Azocar,Mercedes Sosa; Argentinian singer; cantante argentina; Gabriela Mistral; Chilean poet; poeta Chilena; trova; música cubana; cuban music; deportes; sports,"The program starts with a clip of a concert by Argentinian singer Mercedes Sosa in Chile. Then, the program shows a segment taken from Chilean national television that explores the birthplace and early life of Chilean poet Gabriela Mistral. Then, the video shows an audio-visual program from Ojos de América on the rural roots of new Cuban trova. Finally, the program ends with a segment on sports, with a particular emphasis on soccer and tennis in Chile. "
68,14,U-Matic,1993-05-02,1993,1993-05-02,Programa Nosotros (1993-05-02). Nosotros #14; Summer #4,Lisa Andrew; Mario Allende,Lito Azocar,Tabu; Parents; Children; Sports; Deportes; Sexuality; Sexualidad,We see the video Tabu which discusses the difficulties parents have with talking to their children about sex
69,15,U-Matic,1993-05-16,1993,1993-05-16,Programa Nosotros (1993-05-16). Nosotros #15; Summer #5,Mario Allende,Lito Azocar,Tilo Paiz y su banda Amistad; Tilo Paiz and his band Amistad; music; música; cumbia; salsa; dance; danza; panethnic friendships; amistades panéthnicas; Edmonton musician; músico de Edmonton,"The program starts with an interview with Tilo Paiz, a Salvadoran musician who has formed a musical group with people from Canada and other Latin American countries. Then, the program shows a concert recording that was made over a year ago, but not completed until now. The concert includes Tilo Paiz y su banda Amistad, as well as Colombian dancers, a dance group called Doremi and and two salsa dancers. The program switches back and forth between clips of the concert, and segments of the interview with Tilo Paiz, who describes how the pan-ethnic group formed and explains the importance of teaching young people about their musical heritage. At the end of the progam, there is a short news broadcast about events in Latin America. "
70,16,U-Matic,1993-05-23,1993,1993-05-30,Programa Nosotros (1993-05-23). Nosotros #16,Mario Allende,Lisa Andrews,America Rosa band; Music; Latin; Salsa; Merengue; Cumbia; Edmonton,"America Rosa; an Edmonton based group that fuses traditional Latin music with modern day sounds is featured. We are introduced to Sergio; the founder of the band, and his group before they give us a performance which demonstrates their diverse repertoire of music. "
71,20,SP Tape,unknown date,unknown,1989-01-22,Programa Nosotros (1989-01-22). ,Sergio Contreras,Lito Azocar,Christianity; Nicaragua; Priests; Imperialism; Music; Indigenous; Salsa; Edmonton,"Jose Curcio discusses being a catholic priest, living in a small Nicaraguan town and the divide between religious groups. There are also musical performances with strong indigenous backgrounds."
72,21,U-Matic,unknown date,unknown,1988-08-22,Programa Nosotros (1988-08-22). ,Sergio Contreras,Lito Azocar,Pablo Milanés; música Cubana; guitar; keyboard (piano); Nicaragua; mensaje de amor; la unidad y la libertad,"Video clip of performances from a Pablo Milanés concert, a popular Cuban musician"
73,22,SP Tape,unknown date,unknown,1989-05-14,Programa Nosotros (1989-05-14). Nosotros Especial de Aniversario,Sergio Contreras,Lito Azocar,Awards ceremony; music; música; celebration; multiculturalism; la guitarra; la liberación; Edmonton; Canadian Cable Television Association; Latinamerican countries,Awards ceremony and celebration of Programa Nosotros' success since it started. Musical performances from different traditional folk songs from different countries across Latin America
74,26,SP Tape,unknown date,unknown,1990-01-07,Programa Nosotros (1990-01-07).,Sergio Contreras,Ariel Calderon,Local news; noticias locales; music; Mexican; sombrero; deportes; Chile; folk music; political music,"Programa Nosotros covers the local Edmonton Latin American music festival, which features all types of music from different Latin American countries. They also do local news and sports."
75,38,SP Tape,unknown date,unknown,1990-11-18,Programa Nosotros (1990-11-18).,S. Contreras,Lito Azocar,Refugees; Refugiados; Tortura; Torture; Chile; Consejeria; Counselling; Edmonton; Violence; Violencia,"Enrique Reye and Milena Sanhueza host the show. They dicsuss the, Salvadorian Social Services Organization in Edmonton, which provides programs for refugees coming to Canada from Latin American countries. Programs include concelling, help with documentation, health services, as well as English classes. The episode also covers problems with military regimes in Chile, and they talked about the torturings that happened during this time. It finished with the NIcaraguan singer Luis Enrique Mejia Godoy, who sings songs about peace and liberty and the strength of his people. "
76,41,SP Tape,unknown date,unknown,1991-02-10,Programa Nosotros (1991-02-10).,S. Contreras,Lito Azocar,Immigrantes; Immigrants; Chile; Pobreza; Poverty; EISA; GPO. Flolflorico Victor Jara; Orientation programs; Programmas de Orientacion  ,"Niza Solari y Mario Allende host the show. The interview discusses a organization in Edmonton that provides services to new immigrants from central and South America. The rest of the show discusses the poverty problems that were occurring in Chile at the time. They talked with many civilians about their experiences, they also talked with local doctors and other officials about the poverty issues in Chile. The episode finishs off with a musical presentation from the Gpo. Flolflorico Victor Jara."
77,42,SP Tape,unknown date,unknown,1991-03-17,Programa Nosotros (1991-03-17).,S. Contreras,Lito Azocar,Epidemia; Epidemic; Cholera; P.A.S.A.; Peru; Calafquen; Traditional Chilean dance; Danza tradicional de Chile ,Enrique Reye and Niza Solari host. The entire episode discusses the horrible outbreak of cholera that happened in Peru. They discussed many of the issues regarding how the disease spread and some of the measures that were taken in order to contain the spread. When the death toll  started forming the borders of Peru were closed in order to ensure that the disease stayed within the country. They discussed some of the support being sent to Peru and the work with organizations. They finished the episode with a traditional Chilean dance performed by the Chileno grupo Calafquen. 
78,43,SP Tape,unknown date,unknown,1991-05-12,Programa Nosotros (1991-05-12).,S. Contreras,Lito Azocar,Musica; Music; Chile; Diario Popular; Madres; Mothers; Fusion Urbana; Popular Newspaper; Traditional dance; Danza traditional,Antonio Guzman and Niza Solari host the show. The show talks to the mothers of men who had been detained and they talk about their experiences. The show also talks to Lidia Casas about a popular Chilean newspaper and what the paper is meant for. It finishes off with a musical performance from the Fusion Urbana group; a chilean group. 
